"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"UI: admin worker create service ->login to junior account and verify visibility of service ->delete service within Junior account","0","testScopeAdmin_ServiceVisibility","Surefire suite","Mon Dec 02 01:45:55 GMT 2024","skipped","Mon Dec 02 01:45:55 GMT 2024","com.lista.automation.ui.tests.ScopeTest","Surefire test","com.lista.automation.ui.tests.ScopeTest","testScopeAdmin_ServiceVisibility"
"UI: Delete client","0","testDeleteClient","Surefire suite","Mon Dec 02 01:46:07 GMT 2024","skipped","Mon Dec 02 01:46:07 GMT 2024","com.lista.automation.ui.tests.ClientTest","Surefire test","com.lista.automation.ui.tests.ClientTest","testDeleteClient"
"UI: junior worker create appointment ->login as readonly worker and verify invisibility of appointment ->login as admin worker and verify invisibility of appointment","0","testScopeJunior_AppointmentVisibility","Surefire suite","Mon Dec 02 01:45:55 GMT 2024","skipped","Mon Dec 02 01:45:55 GMT 2024","com.lista.automation.ui.tests.ScopeTest","Surefire test","com.lista.automation.ui.tests.ScopeTest","testScopeJunior_AppointmentVisibility"
"UI: admin worker create client ->login to junior account and verify visibility of client ->delete client within Junior account","0","testScopeAdmin_ClientVisibility","Surefire suite","Mon Dec 02 01:45:55 GMT 2024","skipped","Mon Dec 02 01:45:55 GMT 2024","com.lista.automation.ui.tests.ScopeTest","Surefire test","com.lista.automation.ui.tests.ScopeTest","testScopeAdmin_ClientVisibility"
"Change appointment time by drag and drop in UI","0","testDragAndDropAppointment","Surefire suite","Mon Dec 02 01:46:01 GMT 2024","skipped","Mon Dec 02 01:46:01 GMT 2024","com.lista.automation.ui.tests.AppointmentTest","Surefire test","com.lista.automation.ui.tests.AppointmentTest","testDragAndDropAppointment"
"UI: junior worker create client ->login to admin account and verify visibility of client ->delete client within Admin account","0","testScopeJunior_ClientVisibility","Surefire suite","Mon Dec 02 01:45:55 GMT 2024","skipped","Mon Dec 02 01:45:55 GMT 2024","com.lista.automation.ui.tests.ScopeTest","Surefire test","com.lista.automation.ui.tests.ScopeTest","testScopeJunior_ClientVisibility"
"UI: Update service","3","testServiceUpdate","Surefire suite","Mon Dec 02 01:45:50 GMT 2024","skipped","Mon Dec 02 01:45:50 GMT 2024","com.lista.automation.ui.tests.ServiceTest","Surefire test","com.lista.automation.ui.tests.ServiceTest","testServiceUpdate"
"","0","setUp","Surefire suite","Mon Dec 02 01:45:55 GMT 2024","broken","Mon Dec 02 01:45:55 GMT 2024","com.lista.automation.ui.tests.ScopeTest","Surefire test","com.lista.automation.ui.tests.ScopeTest","setUp"
"UI: Delete service","1","testServiceDelete","Surefire suite","Mon Dec 02 01:45:50 GMT 2024","skipped","Mon Dec 02 01:45:50 GMT 2024","com.lista.automation.ui.tests.ServiceTest","Surefire test","com.lista.automation.ui.tests.ServiceTest","testServiceDelete"
"","0","setUp","Surefire suite","Mon Dec 02 01:46:01 GMT 2024","broken","Mon Dec 02 01:46:01 GMT 2024","com.lista.automation.ui.tests.AppointmentTest","Surefire test","com.lista.automation.ui.tests.AppointmentTest","setUp"
"","0","setUp","Surefire suite","Mon Dec 02 01:46:04 GMT 2024","broken","Mon Dec 02 01:46:04 GMT 2024","com.lista.automation.ui.tests.GroupTest","Surefire test","com.lista.automation.ui.tests.GroupTest","setUp"
