"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"UI: Update service","3","testServiceUpdate","Surefire suite","Wed Dec 18 01:41:52 GMT 2024","skipped","Wed Dec 18 01:41:52 GMT 2024","com.lista.automation.ui.tests.ServiceTest","Surefire test","com.lista.automation.ui.tests.ServiceTest","testServiceUpdate"
"UI: junior worker create group ->login to admin account and verify visibility of group ->delete group within Admin account","0","testScopeJunior_GroupVisibility","Surefire suite","Wed Dec 18 01:41:58 GMT 2024","skipped","Wed Dec 18 01:41:58 GMT 2024","com.lista.automation.ui.tests.ScopeTest","Surefire test","com.lista.automation.ui.tests.ScopeTest","testScopeJunior_GroupVisibility"
"UI: junior worker create client ->login to admin account and verify visibility of client ->delete client within Admin account","0","testScopeJunior_ClientVisibility","Surefire suite","Wed Dec 18 01:41:58 GMT 2024","skipped","Wed Dec 18 01:41:58 GMT 2024","com.lista.automation.ui.tests.ScopeTest","Surefire test","com.lista.automation.ui.tests.ScopeTest","testScopeJunior_ClientVisibility"
"UI: junior worker create service ->login to admin account and verify visibility of service ->delete service within Admin account","0","testScopeJunior_ServiceVisibility","Surefire suite","Wed Dec 18 01:41:58 GMT 2024","skipped","Wed Dec 18 01:41:58 GMT 2024","com.lista.automation.ui.tests.ScopeTest","Surefire test","com.lista.automation.ui.tests.ScopeTest","testScopeJunior_ServiceVisibility"
"Change appointment time by drag and drop in UI","0","testDragAndDropAppointment","Surefire suite","Wed Dec 18 01:42:06 GMT 2024","skipped","Wed Dec 18 01:42:06 GMT 2024","com.lista.automation.ui.tests.AppointmentTest","Surefire test","com.lista.automation.ui.tests.AppointmentTest","testDragAndDropAppointment"
"Change calendar view and delete appointment in UI","0","testDeleteAppointment","Surefire suite","Wed Dec 18 01:42:06 GMT 2024","skipped","Wed Dec 18 01:42:06 GMT 2024","com.lista.automation.ui.tests.AppointmentTest","Surefire test","com.lista.automation.ui.tests.AppointmentTest","testDeleteAppointment"
"UI: Update personal info of client","0","testClientUpdatePersonalInfo","Surefire suite","Wed Dec 18 01:42:14 GMT 2024","skipped","Wed Dec 18 01:42:14 GMT 2024","com.lista.automation.ui.tests.ClientTest","Surefire test","com.lista.automation.ui.tests.ClientTest","testClientUpdatePersonalInfo"
"","0","setUp","Surefire suite","Wed Dec 18 01:41:58 GMT 2024","broken","Wed Dec 18 01:41:58 GMT 2024","com.lista.automation.ui.tests.ScopeTest","Surefire test","com.lista.automation.ui.tests.ScopeTest","setUp"
"","0","testGetUsers","Surefire suite","Wed Dec 18 01:42:14 GMT 2024","skipped","Wed Dec 18 01:42:14 GMT 2024","com.lista.automation.ui.tests.ClientTest","Surefire test","com.lista.automation.ui.tests.ClientTest","testGetUsers"
"UI: junior worker create appointment ->login as readonly worker and verify invisibility of appointment ->login as admin worker and verify invisibility of appointment","0","testScopeJunior_AppointmentVisibility","Surefire suite","Wed Dec 18 01:41:58 GMT 2024","skipped","Wed Dec 18 01:41:58 GMT 2024","com.lista.automation.ui.tests.ScopeTest","Surefire test","com.lista.automation.ui.tests.ScopeTest","testScopeJunior_AppointmentVisibility"
