"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"UI: admin/junior/readonly create appointments ->switching between workers -> verify appointment visibility of each worker","1","testScopeSwiper_AppointmentVisibility","Surefire suite","Wed Dec 11 01:44:54 GMT 2024","skipped","Wed Dec 11 01:44:54 GMT 2024","com.lista.automation.ui.tests.ScopeTest","Surefire test","com.lista.automation.ui.tests.ScopeTest","testScopeSwiper_AppointmentVisibility"
"","0","setUp","Surefire suite","Wed Dec 11 01:44:54 GMT 2024","broken","Wed Dec 11 01:44:54 GMT 2024","com.lista.automation.ui.tests.ScopeTest","Surefire test","com.lista.automation.ui.tests.ScopeTest","setUp"
"UI: Rename client group","1","testGroupRename","Surefire suite","Wed Dec 11 01:45:06 GMT 2024","skipped","Wed Dec 11 01:45:06 GMT 2024","com.lista.automation.ui.tests.GroupTest","Surefire test","com.lista.automation.ui.tests.GroupTest","testGroupRename"
"UI: Add member into group","0","testAddMemberIntoGroup","Surefire suite","Wed Dec 11 01:45:06 GMT 2024","skipped","Wed Dec 11 01:45:06 GMT 2024","com.lista.automation.ui.tests.GroupTest","Surefire test","com.lista.automation.ui.tests.GroupTest","testAddMemberIntoGroup"
"UI: Menu of default groups","0","testMenuDefaultGroups","Surefire suite","Wed Dec 11 01:45:06 GMT 2024","skipped","Wed Dec 11 01:45:06 GMT 2024","com.lista.automation.ui.tests.GroupTest","Surefire test","com.lista.automation.ui.tests.GroupTest","testMenuDefaultGroups"
"UI: Update service","3","testServiceUpdate","Surefire suite","Wed Dec 11 01:44:47 GMT 2024","skipped","Wed Dec 11 01:44:47 GMT 2024","com.lista.automation.ui.tests.ServiceTest","Surefire test","com.lista.automation.ui.tests.ServiceTest","testServiceUpdate"
"UI: admin worker create client ->login to junior account and verify visibility of client ->delete client within Junior account","0","testScopeAdmin_ClientVisibility","Surefire suite","Wed Dec 11 01:44:54 GMT 2024","skipped","Wed Dec 11 01:44:54 GMT 2024","com.lista.automation.ui.tests.ScopeTest","Surefire test","com.lista.automation.ui.tests.ScopeTest","testScopeAdmin_ClientVisibility"
"UI: Create client","0","testClientCreate","Surefire suite","Wed Dec 11 01:45:10 GMT 2024","skipped","Wed Dec 11 01:45:10 GMT 2024","com.lista.automation.ui.tests.ClientTest","Surefire test","com.lista.automation.ui.tests.ClientTest","testClientCreate"
"UI: junior worker create appointment ->login as readonly worker and verify invisibility of appointment ->login as admin worker and verify invisibility of appointment","0","testScopeJunior_AppointmentVisibility","Surefire suite","Wed Dec 11 01:44:54 GMT 2024","skipped","Wed Dec 11 01:44:54 GMT 2024","com.lista.automation.ui.tests.ScopeTest","Surefire test","com.lista.automation.ui.tests.ScopeTest","testScopeJunior_AppointmentVisibility"
"UI: Update notes of client","0","testClientUpdateNotes","Surefire suite","Wed Dec 11 01:45:10 GMT 2024","skipped","Wed Dec 11 01:45:10 GMT 2024","com.lista.automation.ui.tests.ClientTest","Surefire test","com.lista.automation.ui.tests.ClientTest","testClientUpdateNotes"
