"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","setUp","Surefire suite","Wed Nov 20 01:40:16 GMT 2024","broken","Wed Nov 20 01:40:16 GMT 2024","com.lista.automation.ui.tests.ClientTest","Surefire test","com.lista.automation.ui.tests.ClientTest","setUp"
"","0","setUp","Surefire suite","Wed Nov 20 01:40:03 GMT 2024","broken","Wed Nov 20 01:40:03 GMT 2024","com.lista.automation.ui.tests.ScopeTest","Surefire test","com.lista.automation.ui.tests.ScopeTest","setUp"
"","5","setUp","Surefire suite","Wed Nov 20 01:39:57 GMT 2024","broken","Wed Nov 20 01:39:57 GMT 2024","com.lista.automation.ui.tests.ServiceTest","Surefire test","com.lista.automation.ui.tests.ServiceTest","setUp"
"UI: Update service","1","testServiceUpdate","Surefire suite","Wed Nov 20 01:39:57 GMT 2024","skipped","Wed Nov 20 01:39:57 GMT 2024","com.lista.automation.ui.tests.ServiceTest","Surefire test","com.lista.automation.ui.tests.ServiceTest","testServiceUpdate"
"UI: Delete client group","0","testGroupDelete","Surefire suite","Wed Nov 20 01:40:12 GMT 2024","skipped","Wed Nov 20 01:40:12 GMT 2024","com.lista.automation.ui.tests.GroupTest","Surefire test","com.lista.automation.ui.tests.GroupTest","testGroupDelete"
"Change appointment time by drag and drop in UI","0","testDragAndDropAppointment","Surefire suite","Wed Nov 20 01:40:09 GMT 2024","skipped","Wed Nov 20 01:40:09 GMT 2024","com.lista.automation.ui.tests.AppointmentTest","Surefire test","com.lista.automation.ui.tests.AppointmentTest","testDragAndDropAppointment"
"","0","setUp","Surefire suite","Wed Nov 20 01:40:09 GMT 2024","broken","Wed Nov 20 01:40:09 GMT 2024","com.lista.automation.ui.tests.AppointmentTest","Surefire test","com.lista.automation.ui.tests.AppointmentTest","setUp"
"UI: Menu of default groups","0","testMenuDefaultGroups","Surefire suite","Wed Nov 20 01:40:12 GMT 2024","skipped","Wed Nov 20 01:40:12 GMT 2024","com.lista.automation.ui.tests.GroupTest","Surefire test","com.lista.automation.ui.tests.GroupTest","testMenuDefaultGroups"
"UI: Create client","0","testClientCreate","Surefire suite","Wed Nov 20 01:40:16 GMT 2024","skipped","Wed Nov 20 01:40:16 GMT 2024","com.lista.automation.ui.tests.ClientTest","Surefire test","com.lista.automation.ui.tests.ClientTest","testClientCreate"
"UI: Change Calendar first day","0","testCalendarSettings","Surefire suite","Wed Nov 20 01:40:06 GMT 2024","skipped","Wed Nov 20 01:40:06 GMT 2024","com.lista.automation.ui.tests.CalendarSettingsTest","Surefire test","com.lista.automation.ui.tests.CalendarSettingsTest","testCalendarSettings"
"UI: Rename client group","0","testGroupRename","Surefire suite","Wed Nov 20 01:40:12 GMT 2024","skipped","Wed Nov 20 01:40:12 GMT 2024","com.lista.automation.ui.tests.GroupTest","Surefire test","com.lista.automation.ui.tests.GroupTest","testGroupRename"
"","0","testGetUsers","Surefire suite","Wed Nov 20 01:40:16 GMT 2024","skipped","Wed Nov 20 01:40:16 GMT 2024","com.lista.automation.ui.tests.ClientTest","Surefire test","com.lista.automation.ui.tests.ClientTest","testGetUsers"
"UI: junior worker create service ->login to admin account and verify visibility of service ->delete service within Admin account","0","testScopeJunior_ServiceVisibility","Surefire suite","Wed Nov 20 01:40:03 GMT 2024","skipped","Wed Nov 20 01:40:03 GMT 2024","com.lista.automation.ui.tests.ScopeTest","Surefire test","com.lista.automation.ui.tests.ScopeTest","testScopeJunior_ServiceVisibility"
"UI: admin worker create group ->login to junior account and verify visibility of group ->delete group within Junior account","0","testScopeAdmin_GroupVisibility","Surefire suite","Wed Nov 20 01:40:03 GMT 2024","skipped","Wed Nov 20 01:40:03 GMT 2024","com.lista.automation.ui.tests.ScopeTest","Surefire test","com.lista.automation.ui.tests.ScopeTest","testScopeAdmin_GroupVisibility"
"UI: Change Calendar view","0","testCalendarView","Surefire suite","Wed Nov 20 01:40:06 GMT 2024","skipped","Wed Nov 20 01:40:06 GMT 2024","com.lista.automation.ui.tests.CalendarSettingsTest","Surefire test","com.lista.automation.ui.tests.CalendarSettingsTest","testCalendarView"
"UI: Update gallery of client","0","testClientUpdateGallery","Surefire suite","Wed Nov 20 01:40:16 GMT 2024","skipped","Wed Nov 20 01:40:16 GMT 2024","com.lista.automation.ui.tests.ClientTest","Surefire test","com.lista.automation.ui.tests.ClientTest","testClientUpdateGallery"
"UI: Delete service","0","testServiceDelete","Surefire suite","Wed Nov 20 01:39:57 GMT 2024","skipped","Wed Nov 20 01:39:57 GMT 2024","com.lista.automation.ui.tests.ServiceTest","Surefire test","com.lista.automation.ui.tests.ServiceTest","testServiceDelete"
"UI: Update notes of client","1","testClientUpdateNotes","Surefire suite","Wed Nov 20 01:40:16 GMT 2024","skipped","Wed Nov 20 01:40:16 GMT 2024","com.lista.automation.ui.tests.ClientTest","Surefire test","com.lista.automation.ui.tests.ClientTest","testClientUpdateNotes"
