"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"UI: admin worker create group ->login to junior account and verify visibility of group ->delete group within Junior account","0","testScopeAdmin_GroupVisibility","Surefire suite","Wed Oct 30 01:36:40 GMT 2024","skipped","Wed Oct 30 01:36:40 GMT 2024","com.lista.automation.ui.tests.ScopeTest","Surefire test","com.lista.automation.ui.tests.ScopeTest","testScopeAdmin_GroupVisibility"
"","1","setUp","Surefire suite","Wed Oct 30 01:36:40 GMT 2024","broken","Wed Oct 30 01:36:40 GMT 2024","com.lista.automation.ui.tests.ScopeTest","Surefire test","com.lista.automation.ui.tests.ScopeTest","setUp"
"UI: junior worker create service ->login to admin account and verify visibility of service ->delete service within Admin account","0","testScopeJunior_ServiceVisibility","Surefire suite","Wed Oct 30 01:36:40 GMT 2024","skipped","Wed Oct 30 01:36:40 GMT 2024","com.lista.automation.ui.tests.ScopeTest","Surefire test","com.lista.automation.ui.tests.ScopeTest","testScopeJunior_ServiceVisibility"
"UI: junior worker create client ->login to admin account and verify visibility of client ->delete client within Admin account","0","testScopeJunior_ClientVisibility","Surefire suite","Wed Oct 30 01:36:40 GMT 2024","skipped","Wed Oct 30 01:36:40 GMT 2024","com.lista.automation.ui.tests.ScopeTest","Surefire test","com.lista.automation.ui.tests.ScopeTest","testScopeJunior_ClientVisibility"
"Create appointment in UI","1","testCreateAppointment","Surefire suite","Wed Oct 30 01:36:46 GMT 2024","skipped","Wed Oct 30 01:36:46 GMT 2024","com.lista.automation.ui.tests.AppointmentTest","Surefire test","com.lista.automation.ui.tests.AppointmentTest","testCreateAppointment"
"UI: Delete client group","0","testGroupDelete","Surefire suite","Wed Oct 30 01:36:49 GMT 2024","skipped","Wed Oct 30 01:36:49 GMT 2024","com.lista.automation.ui.tests.GroupTest","Surefire test","com.lista.automation.ui.tests.GroupTest","testGroupDelete"
"UI: Rename client group","0","testGroupRename","Surefire suite","Wed Oct 30 01:36:49 GMT 2024","skipped","Wed Oct 30 01:36:49 GMT 2024","com.lista.automation.ui.tests.GroupTest","Surefire test","com.lista.automation.ui.tests.GroupTest","testGroupRename"
"UI: Create client group","0","testGroupCreate","Surefire suite","Wed Oct 30 01:36:49 GMT 2024","skipped","Wed Oct 30 01:36:49 GMT 2024","com.lista.automation.ui.tests.GroupTest","Surefire test","com.lista.automation.ui.tests.GroupTest","testGroupCreate"
"UI: Update notes of client","1","testClientUpdateNotes","Surefire suite","Wed Oct 30 01:36:52 GMT 2024","skipped","Wed Oct 30 01:36:52 GMT 2024","com.lista.automation.ui.tests.ClientTest","Surefire test","com.lista.automation.ui.tests.ClientTest","testClientUpdateNotes"
"UI: Update personal info of client","0","testClientUpdatePersonalInfo","Surefire suite","Wed Oct 30 01:36:52 GMT 2024","skipped","Wed Oct 30 01:36:52 GMT 2024","com.lista.automation.ui.tests.ClientTest","Surefire test","com.lista.automation.ui.tests.ClientTest","testClientUpdatePersonalInfo"
"UI: Create service","1","testServiceCreate","Surefire suite","Wed Oct 30 01:36:35 GMT 2024","skipped","Wed Oct 30 01:36:35 GMT 2024","com.lista.automation.ui.tests.ServiceTest","Surefire test","com.lista.automation.ui.tests.ServiceTest","testServiceCreate"
"UI: Update gallery of client","0","testClientUpdateGallery","Surefire suite","Wed Oct 30 01:36:52 GMT 2024","skipped","Wed Oct 30 01:36:52 GMT 2024","com.lista.automation.ui.tests.ClientTest","Surefire test","com.lista.automation.ui.tests.ClientTest","testClientUpdateGallery"
"UI: Delete client","0","testDeleteClient","Surefire suite","Wed Oct 30 01:36:52 GMT 2024","skipped","Wed Oct 30 01:36:52 GMT 2024","com.lista.automation.ui.tests.ClientTest","Surefire test","com.lista.automation.ui.tests.ClientTest","testDeleteClient"
"","1","setUp","Surefire suite","Wed Oct 30 01:36:43 GMT 2024","broken","Wed Oct 30 01:36:43 GMT 2024","com.lista.automation.ui.tests.CalendarSettingsTest","Surefire test","com.lista.automation.ui.tests.CalendarSettingsTest","setUp"
"UI: Delete service","0","testServiceDelete","Surefire suite","Wed Oct 30 01:36:35 GMT 2024","skipped","Wed Oct 30 01:36:35 GMT 2024","com.lista.automation.ui.tests.ServiceTest","Surefire test","com.lista.automation.ui.tests.ServiceTest","testServiceDelete"
"UI: admin worker create service ->login to junior account and verify visibility of service ->delete service within Junior account","1","testScopeAdmin_ServiceVisibility","Surefire suite","Wed Oct 30 01:36:40 GMT 2024","skipped","Wed Oct 30 01:36:40 GMT 2024","com.lista.automation.ui.tests.ScopeTest","Surefire test","com.lista.automation.ui.tests.ScopeTest","testScopeAdmin_ServiceVisibility"
