"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"UI: Create client group","0","testGroupCreate","Surefire suite","Fri Nov 15 01:41:35 GMT 2024","skipped","Fri Nov 15 01:41:35 GMT 2024","com.lista.automation.ui.tests.GroupTest","Surefire test","com.lista.automation.ui.tests.GroupTest","testGroupCreate"
"UI: junior worker create client ->login to admin account and verify visibility of client ->delete client within Admin account","0","testScopeJunior_ClientVisibility","Surefire suite","Fri Nov 15 01:41:23 GMT 2024","skipped","Fri Nov 15 01:41:23 GMT 2024","com.lista.automation.ui.tests.ScopeTest","Surefire test","com.lista.automation.ui.tests.ScopeTest","testScopeJunior_ClientVisibility"
"UI: Delete service","0","testServiceDelete","Surefire suite","Fri Nov 15 01:41:17 GMT 2024","skipped","Fri Nov 15 01:41:17 GMT 2024","com.lista.automation.ui.tests.ServiceTest","Surefire test","com.lista.automation.ui.tests.ServiceTest","testServiceDelete"
"UI: Update gallery of client","0","testClientUpdateGallery","Surefire suite","Fri Nov 15 01:41:39 GMT 2024","skipped","Fri Nov 15 01:41:39 GMT 2024","com.lista.automation.ui.tests.ClientTest","Surefire test","com.lista.automation.ui.tests.ClientTest","testClientUpdateGallery"
"UI: admin worker create service ->login to junior account and verify visibility of service ->delete service within Junior account","0","testScopeAdmin_ServiceVisibility","Surefire suite","Fri Nov 15 01:41:23 GMT 2024","skipped","Fri Nov 15 01:41:23 GMT 2024","com.lista.automation.ui.tests.ScopeTest","Surefire test","com.lista.automation.ui.tests.ScopeTest","testScopeAdmin_ServiceVisibility"
"Create empty appointment in UI","1","testCreateEmptyAppointment","Surefire suite","Fri Nov 15 01:41:32 GMT 2024","skipped","Fri Nov 15 01:41:32 GMT 2024","com.lista.automation.ui.tests.AppointmentTest","Surefire test","com.lista.automation.ui.tests.AppointmentTest","testCreateEmptyAppointment"
"UI: Rename client group","0","testGroupRename","Surefire suite","Fri Nov 15 01:41:35 GMT 2024","skipped","Fri Nov 15 01:41:35 GMT 2024","com.lista.automation.ui.tests.GroupTest","Surefire test","com.lista.automation.ui.tests.GroupTest","testGroupRename"
"UI: Create service","1","testServiceCreate","Surefire suite","Fri Nov 15 01:41:17 GMT 2024","skipped","Fri Nov 15 01:41:17 GMT 2024","com.lista.automation.ui.tests.ServiceTest","Surefire test","com.lista.automation.ui.tests.ServiceTest","testServiceCreate"
"UI: admin worker create client ->login to junior account and verify visibility of client ->delete client within Junior account","0","testScopeAdmin_ClientVisibility","Surefire suite","Fri Nov 15 01:41:23 GMT 2024","skipped","Fri Nov 15 01:41:23 GMT 2024","com.lista.automation.ui.tests.ScopeTest","Surefire test","com.lista.automation.ui.tests.ScopeTest","testScopeAdmin_ClientVisibility"
"Change appointment time by drag and drop in UI","0","testDragAndDropAppointment","Surefire suite","Fri Nov 15 01:41:32 GMT 2024","skipped","Fri Nov 15 01:41:32 GMT 2024","com.lista.automation.ui.tests.AppointmentTest","Surefire test","com.lista.automation.ui.tests.AppointmentTest","testDragAndDropAppointment"
"UI: Update personal info of client","0","testClientUpdatePersonalInfo","Surefire suite","Fri Nov 15 01:41:39 GMT 2024","skipped","Fri Nov 15 01:41:39 GMT 2024","com.lista.automation.ui.tests.ClientTest","Surefire test","com.lista.automation.ui.tests.ClientTest","testClientUpdatePersonalInfo"
"Create appointment in UI","0","testCreateAppointment","Surefire suite","Fri Nov 15 01:41:32 GMT 2024","skipped","Fri Nov 15 01:41:32 GMT 2024","com.lista.automation.ui.tests.AppointmentTest","Surefire test","com.lista.automation.ui.tests.AppointmentTest","testCreateAppointment"
