"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","setUp","Surefire suite","Fri Dec 06 01:43:29 GMT 2024","broken","Fri Dec 06 01:43:29 GMT 2024","com.lista.automation.ui.tests.GroupTest","Surefire test","com.lista.automation.ui.tests.GroupTest","setUp"
"UI: admin worker create client ->login to junior account and verify visibility of client ->delete client within Junior account","0","testScopeAdmin_ClientVisibility","Surefire suite","Fri Dec 06 01:43:19 GMT 2024","skipped","Fri Dec 06 01:43:19 GMT 2024","com.lista.automation.ui.tests.ScopeTest","Surefire test","com.lista.automation.ui.tests.ScopeTest","testScopeAdmin_ClientVisibility"
"UI: Delete service","0","testServiceDelete","Surefire suite","Fri Dec 06 01:43:14 GMT 2024","skipped","Fri Dec 06 01:43:14 GMT 2024","com.lista.automation.ui.tests.ServiceTest","Surefire test","com.lista.automation.ui.tests.ServiceTest","testServiceDelete"
"UI: admin worker create service ->login to junior account and verify visibility of service ->delete service within Junior account","0","testScopeAdmin_ServiceVisibility","Surefire suite","Fri Dec 06 01:43:19 GMT 2024","skipped","Fri Dec 06 01:43:19 GMT 2024","com.lista.automation.ui.tests.ScopeTest","Surefire test","com.lista.automation.ui.tests.ScopeTest","testScopeAdmin_ServiceVisibility"
"","0","setUp","Surefire suite","Fri Dec 06 01:43:22 GMT 2024","broken","Fri Dec 06 01:43:22 GMT 2024","com.lista.automation.ui.tests.CalendarSettingsTest","Surefire test","com.lista.automation.ui.tests.CalendarSettingsTest","setUp"
"","0","setUp","Surefire suite","Fri Dec 06 01:43:32 GMT 2024","broken","Fri Dec 06 01:43:32 GMT 2024","com.lista.automation.ui.tests.ClientTest","Surefire test","com.lista.automation.ui.tests.ClientTest","setUp"
"UI: Rename client group","0","testGroupRename","Surefire suite","Fri Dec 06 01:43:29 GMT 2024","skipped","Fri Dec 06 01:43:29 GMT 2024","com.lista.automation.ui.tests.GroupTest","Surefire test","com.lista.automation.ui.tests.GroupTest","testGroupRename"
"UI: Create client","1","testClientCreate","Surefire suite","Fri Dec 06 01:43:32 GMT 2024","skipped","Fri Dec 06 01:43:32 GMT 2024","com.lista.automation.ui.tests.ClientTest","Surefire test","com.lista.automation.ui.tests.ClientTest","testClientCreate"
"UI: admin worker create appointment ->login as junior worker and verify invisibility of appointment ->login as readonly worker and verify invisibility of appointment","1","testScopeAdmin_AppointmentVisibility","Surefire suite","Fri Dec 06 01:43:19 GMT 2024","skipped","Fri Dec 06 01:43:19 GMT 2024","com.lista.automation.ui.tests.ScopeTest","Surefire test","com.lista.automation.ui.tests.ScopeTest","testScopeAdmin_AppointmentVisibility"
"UI: junior worker create service ->login to admin account and verify visibility of service ->delete service within Admin account","0","testScopeJunior_ServiceVisibility","Surefire suite","Fri Dec 06 01:43:19 GMT 2024","skipped","Fri Dec 06 01:43:19 GMT 2024","com.lista.automation.ui.tests.ScopeTest","Surefire test","com.lista.automation.ui.tests.ScopeTest","testScopeJunior_ServiceVisibility"
"","0","setUp","Surefire suite","Fri Dec 06 01:43:25 GMT 2024","broken","Fri Dec 06 01:43:25 GMT 2024","com.lista.automation.ui.tests.AppointmentTest","Surefire test","com.lista.automation.ui.tests.AppointmentTest","setUp"
"UI: Delete client","0","testDeleteClient","Surefire suite","Fri Dec 06 01:43:32 GMT 2024","skipped","Fri Dec 06 01:43:32 GMT 2024","com.lista.automation.ui.tests.ClientTest","Surefire test","com.lista.automation.ui.tests.ClientTest","testDeleteClient"
"UI: junior worker create appointment ->login as readonly worker and verify invisibility of appointment ->login as admin worker and verify invisibility of appointment","0","testScopeJunior_AppointmentVisibility","Surefire suite","Fri Dec 06 01:43:19 GMT 2024","skipped","Fri Dec 06 01:43:19 GMT 2024","com.lista.automation.ui.tests.ScopeTest","Surefire test","com.lista.automation.ui.tests.ScopeTest","testScopeJunior_AppointmentVisibility"
"UI: Update gallery of client","0","testClientUpdateGallery","Surefire suite","Fri Dec 06 01:43:32 GMT 2024","skipped","Fri Dec 06 01:43:32 GMT 2024","com.lista.automation.ui.tests.ClientTest","Surefire test","com.lista.automation.ui.tests.ClientTest","testClientUpdateGallery"
"UI: Update service","3","testServiceUpdate","Surefire suite","Fri Dec 06 01:43:14 GMT 2024","skipped","Fri Dec 06 01:43:14 GMT 2024","com.lista.automation.ui.tests.ServiceTest","Surefire test","com.lista.automation.ui.tests.ServiceTest","testServiceUpdate"
"Create empty appointment in UI","0","testCreateEmptyAppointment","Surefire suite","Fri Dec 06 01:43:25 GMT 2024","skipped","Fri Dec 06 01:43:25 GMT 2024","com.lista.automation.ui.tests.AppointmentTest","Surefire test","com.lista.automation.ui.tests.AppointmentTest","testCreateEmptyAppointment"
"Add new client during appointment creation in UI","0","testAddClientDuringAppointmentCreation","Surefire suite","Fri Dec 06 01:43:25 GMT 2024","skipped","Fri Dec 06 01:43:25 GMT 2024","com.lista.automation.ui.tests.AppointmentTest","Surefire test","com.lista.automation.ui.tests.AppointmentTest","testAddClientDuringAppointmentCreation"
"UI: admin/junior/readonly create appointments ->switching between workers -> verify appointment visibility of each worker","0","testScopeSwiper_AppointmentVisibility","Surefire suite","Fri Dec 06 01:43:19 GMT 2024","skipped","Fri Dec 06 01:43:19 GMT 2024","com.lista.automation.ui.tests.ScopeTest","Surefire test","com.lista.automation.ui.tests.ScopeTest","testScopeSwiper_AppointmentVisibility"
"","5","setUp","Surefire suite","Fri Dec 06 01:43:14 GMT 2024","broken","Fri Dec 06 01:43:14 GMT 2024","com.lista.automation.ui.tests.ServiceTest","Surefire test","com.lista.automation.ui.tests.ServiceTest","setUp"
"","0","setUp","Surefire suite","Fri Dec 06 01:43:19 GMT 2024","broken","Fri Dec 06 01:43:19 GMT 2024","com.lista.automation.ui.tests.ScopeTest","Surefire test","com.lista.automation.ui.tests.ScopeTest","setUp"
"","0","testGetUsers","Surefire suite","Fri Dec 06 01:43:32 GMT 2024","skipped","Fri Dec 06 01:43:32 GMT 2024","com.lista.automation.ui.tests.ClientTest","Surefire test","com.lista.automation.ui.tests.ClientTest","testGetUsers"
"UI: junior worker create group ->login to admin account and verify visibility of group ->delete group within Admin account","0","testScopeJunior_GroupVisibility","Surefire suite","Fri Dec 06 01:43:19 GMT 2024","skipped","Fri Dec 06 01:43:19 GMT 2024","com.lista.automation.ui.tests.ScopeTest","Surefire test","com.lista.automation.ui.tests.ScopeTest","testScopeJunior_GroupVisibility"
"UI: Change Calendar first day","0","testCalendarSettings","Surefire suite","Fri Dec 06 01:43:22 GMT 2024","skipped","Fri Dec 06 01:43:22 GMT 2024","com.lista.automation.ui.tests.CalendarSettingsTest","Surefire test","com.lista.automation.ui.tests.CalendarSettingsTest","testCalendarSettings"
"UI: admin worker create group ->login to junior account and verify visibility of group ->delete group within Junior account","1","testScopeAdmin_GroupVisibility","Surefire suite","Fri Dec 06 01:43:19 GMT 2024","skipped","Fri Dec 06 01:43:19 GMT 2024","com.lista.automation.ui.tests.ScopeTest","Surefire test","com.lista.automation.ui.tests.ScopeTest","testScopeAdmin_GroupVisibility"
"UI: Create client group","0","testGroupCreate","Surefire suite","Fri Dec 06 01:43:29 GMT 2024","skipped","Fri Dec 06 01:43:29 GMT 2024","com.lista.automation.ui.tests.GroupTest","Surefire test","com.lista.automation.ui.tests.GroupTest","testGroupCreate"
"UI: Create service","2","testServiceCreate","Surefire suite","Fri Dec 06 01:43:14 GMT 2024","skipped","Fri Dec 06 01:43:14 GMT 2024","com.lista.automation.ui.tests.ServiceTest","Surefire test","com.lista.automation.ui.tests.ServiceTest","testServiceCreate"
