"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"UI: Rename client group","0","testGroupRename","Surefire suite","Mon Dec 16 01:48:13 GMT 2024","skipped","Mon Dec 16 01:48:13 GMT 2024","com.lista.automation.ui.tests.GroupTest","Surefire test","com.lista.automation.ui.tests.GroupTest","testGroupRename"
"UI: Create service","1","testServiceCreate","Surefire suite","Mon Dec 16 01:47:57 GMT 2024","skipped","Mon Dec 16 01:47:57 GMT 2024","com.lista.automation.ui.tests.ServiceTest","Surefire test","com.lista.automation.ui.tests.ServiceTest","testServiceCreate"
"Add new client during appointment creation in UI","0","testAddClientDuringAppointmentCreation","Surefire suite","Mon Dec 16 01:48:10 GMT 2024","skipped","Mon Dec 16 01:48:10 GMT 2024","com.lista.automation.ui.tests.AppointmentTest","Surefire test","com.lista.automation.ui.tests.AppointmentTest","testAddClientDuringAppointmentCreation"
"UI: Update gallery of client","0","testClientUpdateGallery","Surefire suite","Mon Dec 16 01:48:16 GMT 2024","skipped","Mon Dec 16 01:48:16 GMT 2024","com.lista.automation.ui.tests.ClientTest","Surefire test","com.lista.automation.ui.tests.ClientTest","testClientUpdateGallery"
"UI: Update notes of client","0","testClientUpdateNotes","Surefire suite","Mon Dec 16 01:48:16 GMT 2024","skipped","Mon Dec 16 01:48:16 GMT 2024","com.lista.automation.ui.tests.ClientTest","Surefire test","com.lista.automation.ui.tests.ClientTest","testClientUpdateNotes"
"UI: Menu of default groups","0","testMenuDefaultGroups","Surefire suite","Mon Dec 16 01:48:13 GMT 2024","skipped","Mon Dec 16 01:48:13 GMT 2024","com.lista.automation.ui.tests.GroupTest","Surefire test","com.lista.automation.ui.tests.GroupTest","testMenuDefaultGroups"
"UI: Create client","0","testClientCreate","Surefire suite","Mon Dec 16 01:48:16 GMT 2024","skipped","Mon Dec 16 01:48:16 GMT 2024","com.lista.automation.ui.tests.ClientTest","Surefire test","com.lista.automation.ui.tests.ClientTest","testClientCreate"
"UI: Change Calendar first day","0","testCalendarSettings","Surefire suite","Mon Dec 16 01:48:06 GMT 2024","skipped","Mon Dec 16 01:48:06 GMT 2024","com.lista.automation.ui.tests.CalendarSettingsTest","Surefire test","com.lista.automation.ui.tests.CalendarSettingsTest","testCalendarSettings"
"Change appointment time by drag and drop in UI","0","testDragAndDropAppointment","Surefire suite","Mon Dec 16 01:48:10 GMT 2024","skipped","Mon Dec 16 01:48:10 GMT 2024","com.lista.automation.ui.tests.AppointmentTest","Surefire test","com.lista.automation.ui.tests.AppointmentTest","testDragAndDropAppointment"
"UI: admin worker create client ->login to junior account and verify visibility of client ->delete client within Junior account","0","testScopeAdmin_ClientVisibility","Surefire suite","Mon Dec 16 01:48:03 GMT 2024","skipped","Mon Dec 16 01:48:03 GMT 2024","com.lista.automation.ui.tests.ScopeTest","Surefire test","com.lista.automation.ui.tests.ScopeTest","testScopeAdmin_ClientVisibility"
"","0","setUp","Surefire suite","Mon Dec 16 01:48:16 GMT 2024","broken","Mon Dec 16 01:48:16 GMT 2024","com.lista.automation.ui.tests.ClientTest","Surefire test","com.lista.automation.ui.tests.ClientTest","setUp"
"UI: Add member into group","0","testAddMemberIntoGroup","Surefire suite","Mon Dec 16 01:48:13 GMT 2024","skipped","Mon Dec 16 01:48:13 GMT 2024","com.lista.automation.ui.tests.GroupTest","Surefire test","com.lista.automation.ui.tests.GroupTest","testAddMemberIntoGroup"
"UI: Update personal info of client","0","testClientUpdatePersonalInfo","Surefire suite","Mon Dec 16 01:48:16 GMT 2024","skipped","Mon Dec 16 01:48:16 GMT 2024","com.lista.automation.ui.tests.ClientTest","Surefire test","com.lista.automation.ui.tests.ClientTest","testClientUpdatePersonalInfo"
"UI: junior worker create service ->login to admin account and verify visibility of service ->delete service within Admin account","0","testScopeJunior_ServiceVisibility","Surefire suite","Mon Dec 16 01:48:03 GMT 2024","skipped","Mon Dec 16 01:48:03 GMT 2024","com.lista.automation.ui.tests.ScopeTest","Surefire test","com.lista.automation.ui.tests.ScopeTest","testScopeJunior_ServiceVisibility"
"UI: admin worker create appointment ->login as junior worker and verify invisibility of appointment ->login as readonly worker and verify invisibility of appointment","0","testScopeAdmin_AppointmentVisibility","Surefire suite","Mon Dec 16 01:48:03 GMT 2024","skipped","Mon Dec 16 01:48:03 GMT 2024","com.lista.automation.ui.tests.ScopeTest","Surefire test","com.lista.automation.ui.tests.ScopeTest","testScopeAdmin_AppointmentVisibility"
"UI: Update debts of client","0","testClientUpdateDebts","Surefire suite","Mon Dec 16 01:48:16 GMT 2024","skipped","Mon Dec 16 01:48:16 GMT 2024","com.lista.automation.ui.tests.ClientTest","Surefire test","com.lista.automation.ui.tests.ClientTest","testClientUpdateDebts"
"UI: admin worker create service ->login to junior account and verify visibility of service ->delete service within Junior account","0","testScopeAdmin_ServiceVisibility","Surefire suite","Mon Dec 16 01:48:03 GMT 2024","skipped","Mon Dec 16 01:48:03 GMT 2024","com.lista.automation.ui.tests.ScopeTest","Surefire test","com.lista.automation.ui.tests.ScopeTest","testScopeAdmin_ServiceVisibility"
"UI: Update service","0","testServiceUpdate","Surefire suite","Mon Dec 16 01:47:57 GMT 2024","skipped","Mon Dec 16 01:47:57 GMT 2024","com.lista.automation.ui.tests.ServiceTest","Surefire test","com.lista.automation.ui.tests.ServiceTest","testServiceUpdate"
"","0","setUp","Surefire suite","Mon Dec 16 01:48:13 GMT 2024","broken","Mon Dec 16 01:48:13 GMT 2024","com.lista.automation.ui.tests.GroupTest","Surefire test","com.lista.automation.ui.tests.GroupTest","setUp"
"UI: Delete service","2","testServiceDelete","Surefire suite","Mon Dec 16 01:47:57 GMT 2024","skipped","Mon Dec 16 01:47:57 GMT 2024","com.lista.automation.ui.tests.ServiceTest","Surefire test","com.lista.automation.ui.tests.ServiceTest","testServiceDelete"
"UI: Delete client group","0","testGroupDelete","Surefire suite","Mon Dec 16 01:48:13 GMT 2024","skipped","Mon Dec 16 01:48:13 GMT 2024","com.lista.automation.ui.tests.GroupTest","Surefire test","com.lista.automation.ui.tests.GroupTest","testGroupDelete"
"UI: junior worker create group ->login to admin account and verify visibility of group ->delete group within Admin account","0","testScopeJunior_GroupVisibility","Surefire suite","Mon Dec 16 01:48:03 GMT 2024","skipped","Mon Dec 16 01:48:03 GMT 2024","com.lista.automation.ui.tests.ScopeTest","Surefire test","com.lista.automation.ui.tests.ScopeTest","testScopeJunior_GroupVisibility"
"UI: Delete client","0","testDeleteClient","Surefire suite","Mon Dec 16 01:48:16 GMT 2024","skipped","Mon Dec 16 01:48:16 GMT 2024","com.lista.automation.ui.tests.ClientTest","Surefire test","com.lista.automation.ui.tests.ClientTest","testDeleteClient"
"","1","setUp","Surefire suite","Mon Dec 16 01:48:10 GMT 2024","broken","Mon Dec 16 01:48:10 GMT 2024","com.lista.automation.ui.tests.AppointmentTest","Surefire test","com.lista.automation.ui.tests.AppointmentTest","setUp"
"UI: Create client group","0","testGroupCreate","Surefire suite","Mon Dec 16 01:48:13 GMT 2024","skipped","Mon Dec 16 01:48:13 GMT 2024","com.lista.automation.ui.tests.GroupTest","Surefire test","com.lista.automation.ui.tests.GroupTest","testGroupCreate"
"UI: Change Calendar view","0","testCalendarView","Surefire suite","Mon Dec 16 01:48:06 GMT 2024","skipped","Mon Dec 16 01:48:06 GMT 2024","com.lista.automation.ui.tests.CalendarSettingsTest","Surefire test","com.lista.automation.ui.tests.CalendarSettingsTest","testCalendarView"
"Change calendar view and delete appointment in UI","1","testDeleteAppointment","Surefire suite","Mon Dec 16 01:48:10 GMT 2024","skipped","Mon Dec 16 01:48:10 GMT 2024","com.lista.automation.ui.tests.AppointmentTest","Surefire test","com.lista.automation.ui.tests.AppointmentTest","testDeleteAppointment"
"","0","testGetUsers","Surefire suite","Mon Dec 16 01:48:16 GMT 2024","skipped","Mon Dec 16 01:48:16 GMT 2024","com.lista.automation.ui.tests.ClientTest","Surefire test","com.lista.automation.ui.tests.ClientTest","testGetUsers"
"UI: junior worker create appointment ->login as readonly worker and verify invisibility of appointment ->login as admin worker and verify invisibility of appointment","0","testScopeJunior_AppointmentVisibility","Surefire suite","Mon Dec 16 01:48:03 GMT 2024","skipped","Mon Dec 16 01:48:03 GMT 2024","com.lista.automation.ui.tests.ScopeTest","Surefire test","com.lista.automation.ui.tests.ScopeTest","testScopeJunior_AppointmentVisibility"
"UI: admin/junior/readonly create appointments ->switching between workers -> verify appointment visibility of each worker","0","testScopeSwiper_AppointmentVisibility","Surefire suite","Mon Dec 16 01:48:03 GMT 2024","skipped","Mon Dec 16 01:48:03 GMT 2024","com.lista.automation.ui.tests.ScopeTest","Surefire test","com.lista.automation.ui.tests.ScopeTest","testScopeSwiper_AppointmentVisibility"
"UI: admin worker create group ->login to junior account and verify visibility of group ->delete group within Junior account","0","testScopeAdmin_GroupVisibility","Surefire suite","Mon Dec 16 01:48:03 GMT 2024","skipped","Mon Dec 16 01:48:03 GMT 2024","com.lista.automation.ui.tests.ScopeTest","Surefire test","com.lista.automation.ui.tests.ScopeTest","testScopeAdmin_GroupVisibility"
"UI: junior worker create client ->login to admin account and verify visibility of client ->delete client within Admin account","0","testScopeJunior_ClientVisibility","Surefire suite","Mon Dec 16 01:48:03 GMT 2024","skipped","Mon Dec 16 01:48:03 GMT 2024","com.lista.automation.ui.tests.ScopeTest","Surefire test","com.lista.automation.ui.tests.ScopeTest","testScopeJunior_ClientVisibility"
"Create empty appointment in UI","0","testCreateEmptyAppointment","Surefire suite","Mon Dec 16 01:48:10 GMT 2024","skipped","Mon Dec 16 01:48:10 GMT 2024","com.lista.automation.ui.tests.AppointmentTest","Surefire test","com.lista.automation.ui.tests.AppointmentTest","testCreateEmptyAppointment"
"Create appointment in UI","0","testCreateAppointment","Surefire suite","Mon Dec 16 01:48:10 GMT 2024","skipped","Mon Dec 16 01:48:10 GMT 2024","com.lista.automation.ui.tests.AppointmentTest","Surefire test","com.lista.automation.ui.tests.AppointmentTest","testCreateAppointment"
"","0","setUp","Surefire suite","Mon Dec 16 01:48:03 GMT 2024","broken","Mon Dec 16 01:48:03 GMT 2024","com.lista.automation.ui.tests.ScopeTest","Surefire test","com.lista.automation.ui.tests.ScopeTest","setUp"
"","2","setUp","Surefire suite","Mon Dec 16 01:47:57 GMT 2024","broken","Mon Dec 16 01:47:57 GMT 2024","com.lista.automation.ui.tests.ServiceTest","Surefire test","com.lista.automation.ui.tests.ServiceTest","setUp"
"UI: Delete member from group","0","testDeleteMemberFromGroup","Surefire suite","Mon Dec 16 01:48:13 GMT 2024","skipped","Mon Dec 16 01:48:13 GMT 2024","com.lista.automation.ui.tests.GroupTest","Surefire test","com.lista.automation.ui.tests.GroupTest","testDeleteMemberFromGroup"
"","1","setUp","Surefire suite","Mon Dec 16 01:48:06 GMT 2024","broken","Mon Dec 16 01:48:06 GMT 2024","com.lista.automation.ui.tests.CalendarSettingsTest","Surefire test","com.lista.automation.ui.tests.CalendarSettingsTest","setUp"
